,BCH,ETH,AAPL,ADA,BTC,MSFT,TSLA,XRP,AMZN,NVDA,GOOGL,LTC,FB,DOT
2025-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,0.30653767585754393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990904331207275,0.0
2025-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29,-0.003346612056096395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-30,0.3783342440923055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3962199568748474,0.0
2025-01-31,0.3783342440923055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,0.3783342440923055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-02,-0.49951422214508057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,0.6666595141092936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5970382889111837,0.0,0.0
2025-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3963391900062561,0.0
2025-02-05,0.10281068086624146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68856380879879,0.0,0.0
2025-02-06,0.10281068086624146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6662648320198059,0.0,0.0
2025-02-07,0.3332127332687378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499932328859965,0.0,0.0
2025-02-08,0.3332127332687378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-09,-0.768304169178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,-0.011094540357589722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5548199084069994,-0.1603284776210785,0.0
2025-02-11,-0.011094540357589722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5995693023388202,-0.29190637469291686,0.0
2025-02-12,0.49963414669036865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13867150034223283,-0.15339948122317976,0.0
2025-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12277196049690246,-0.04320680243628366,0.0
2025-02-14,0.961841344833374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15496196917125157,-0.1086927851041158,0.0
2025-02-15,0.961841344833374,0.0,0.0,0.0,0.0,-0.057170589764912925,0.0,0.0,0.1564774215221405,0.0,0.12555806911908662,0.9999875624974569,-0.16128132343292237,0.0
2025-02-16,0.961841344833374,0.0,0.0,0.0,0.0,-0.0830298521939446,0.2341461032629013,0.0,0.1538154391142038,0.49999427795410156,0.0,0.7328177690505981,0.0,0.0
2025-02-17,0.49947625398635864,0.0,0.14880811671415964,0.0,0.0,0.19770913322766623,-0.043415966786836326,0.0,0.21673235526451698,0.31123202708032394,0.23308462566799587,0.7999154686927795,-0.24993790686130524,0.0
2025-02-18,0.49947625398635864,0.0,0.08592396715412969,1.0,0.0,0.06787262971584614,-0.12069039543469746,0.0,-0.06483255699276924,0.29380247153733907,-0.22177520569633036,-0.4996359944343567,-0.24987629055976868,0.10954833692974514
2025-02-19,0.999944806098938,0.0,0.007087819278240204,0.2949867267161608,0.0,0.050204690959718495,0.03091688000637552,0.1394622010343215,0.12761348027449387,0.058815556413987106,0.0,0.28570640087127686,0.0,0.15512004651521383
2025-02-20,0.9996126294136047,0.0,0.09194760024547577,0.11559978302787333,0.0,0.12041580677032471,0.05749179635729108,0.24965419620275497,0.024516610304514568,0.045155927538871765,0.05160677433013916,0.3333333333333333,0.13627199828624725,0.016239634581974575
2025-02-21,0.0,-0.29203432202339175,0.0,0.14853957667946815,0.32820386356777614,0.08857450160113248,-0.19991143941879272,0.09829217546126422,-0.24813371896743774,0.05592833115504338,0.0,0.3333332935969035,0.16065897047519684,0.346450851244085
2025-02-22,0.0,0.028539417118861758,-0.17633620500564576,0.19981560707092286,-0.1976430524479259,0.0,0.0,0.2106429934501648,2.759695053100586e-05,0.0,-0.4644548296928406,0.49744313955307007,0.0,-0.2856828910963876
2025-02-23,-0.9999992847442627,-0.3493283838033676,0.12721218512608454,5.586658205304827e-05,-0.18702491372823715,0.0,-0.710274338722229,-0.0002712532877922058,0.0,0.28803720076878864,0.0,0.9999991655349731,0.33328060309092206,0.14753776788711548
2025-02-24,-0.9999992847442627,-0.20613847114145756,-0.07709766836727366,-0.04021458734165539,0.026932595670223235,-0.09805165976285934,0.020890772342681885,-0.29641225704779994,0.19713595935276576,0.1428648488862174,0.0908472321250222,-0.4999997019767761,6.556510925292969e-06,0.02323835562257206
